Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's Mutter ist eine Schmuckdesignerin und ihr Vater ist ein Anwalt.
Mayén was an industrial designer , and following his graduation from Columbia , taught classes in advertising design at his alma mater , Cooper Union , and The New School , both in Manhattan . ||| Mayén war ein Industriedesigner, und nach seinem Abschluss von Columbia, unterrichtete Klassen in Werbedesign an seiner Alma Mater, Cooper Union, und The New School, beide in Manhattan.
The designer saw his original clothing at the National Museum of Costume . ||| Der Designer sah seine ursprüngliche Kleidung im National Museum of Costume.
Indeed , models basically play the same role in economics as in fashion : they provide an articulated frame on which to show off your material to advantage ... ; a useful role , but fraught with the dangers that the designer may get carried away by his personal inclination for the model , while the customers may forget that the model is more streamlined than reality . ||| In der Tat, Modelle spielen im Grunde die gleiche Rolle in der Wirtschaft wie in der Mode: sie bieten einen artikulierten Rahmen, auf dem Ihr Material zum Vorteil zu zeigen...; eine nützliche Rolle, aber mit den Gefahren, die der Designer kann von seiner persönlichen Neigung für das Modell getragen werden, während die Kunden vergessen, dass das Modell ist schlanker als die Realität.
Despite his initial anger , the designer , Walter Allward , sees amazing carving skills within Klara , and how the portrait of the young man 's face increases the much desired allegory for those youthful men who were lost in the war . ||| Trotz seiner anfänglichen Wut, der Designer, Walter Allward, sieht erstaunliche Carving-Fähigkeiten innerhalb Klara, und wie das Porträt des jungen Mannes Gesicht erhöht die begehrte Allegorie für die jugendlichen Männer, die im Krieg verloren waren.
Internationally acclaimed Ghanaian - British designer Ozwald Boateng introduced African print suits in his 2012 collection . ||| International gefeierter Ghanaer - Der britische Designer Ozwald Boateng führte afrikanische Printanzüge in seine Kollektion 2012 ein.
The designer Romeo Gigli used me as his muse , and designed an entire collection on me . ||| Der Designer Romeo Gigli benutzte mich als seine Muse und entwarf mir eine ganze Kollektion.
In his book , " Craft of Gardens " , the garden designer Ji Cheng wrote : " The spirit and the charm of mountains and forests must be studied in depth ; ... only the knowledge of the real permits the creation of the artificial , so that the work created possesses the spirit of the real , in part because of divine inspiration , but especially because of human effort . ||| In seinem Buch, "Handwerk der Gärten ", schrieb der Gartendesigner Ji Cheng: "Der Geist und der Charme der Berge und Wälder müssen in der Tiefe studiert werden;... nur das Wissen um die reale erlaubt die Schaffung der künstlichen, so dass die geschaffene Arbeit besitzt den Geist der realen, zum Teil wegen der göttlichen Inspiration, aber vor allem wegen der menschlichen Anstrengung.
Fashion designer Jasper Conran is his son with his second wife , writer Shirley Conran . ||| Modedesigner Jasper Conran ist sein Sohn mit seiner zweiten Frau, Schriftsteller Shirley Conran.
Costume designer William Ware Theiss began working on new designs for the Starfleet uniforms , some based on his creations for " The Original Series " , others being a radical departure . ||| Kostümdesigner William Ware Theiss begann mit der Arbeit an neuen Designs für die Starfleet Uniformen, einige basierend auf seinen Kreationen für "The Original Series ", andere sind ein radikaler Abgang.
The game 's designer , Phil Fish , became renowned in a way unusual for game developers due to his prominence in " " , which released in 2012 . ||| Das Spiel's Designer, Phil Fish, wurde bekannt in einer Weise ungewöhnlich für Spieleentwickler aufgrund seiner Prominenz in " ", die im Jahr 2012 veröffentlicht.
Billionaire industrial designer , and founder of the Dyson company , James Dyson has pledged his support for the project . ||| Milliardär Industriedesigner und Gründer der Firma Dyson, James Dyson hat seine Unterstützung für das Projekt zugesagt.
Philip Anthony Treacy ( born 26 May 1967 ) is an Irish award - winning haute couture milliner , or hat designer , who has been mostly based in London for his career , and who was described by " Vogue " magazine as " perhaps the greatest living milliner " . ||| Philip Anthony Treacy (geboren am 26. Mai 1967) ist ein irischer preisgekrönter Haute Couture Milliner, oder Hutdesigner, der für seine Karriere hauptsächlich in London ansässig ist und von der Zeitschrift Vogue als "vielleicht der größte lebende Milliner" bezeichnet wurde.
During the first years of the SECR , express passenger services were well served by Wainwright ' s ' D ' and ' E ' 4-4-0 classes but loads continued to increase and by 1912 the designer realised that he would soon need more powerful locomotives . ||| In den ersten Jahren der SECR wurden Express-Fahrgastdienste von Wainwright's'D'und'E'4-4-0 Klassen gut bedient, aber die Lasten weiter zu erhöhen und bis 1912 der Designer erkannte, dass er bald mehr leistungsstarke Lokomotiven benötigen würde.
Macdonald 's training as a designer and his interest in children 's paintings encouraged his experimentation with abstract art . ||| Macdonald's Ausbildung als Designer und sein Interesse an Kinderbildern ermutigte sein Experimentieren mit abstrakter Kunst.
Francesco Laparelli was the city 's principal designer and his plan departed from medieval Maltese architecture , which exhibited irregular winding streets and alleys . ||| Francesco Laparelli war der wichtigste Designer der Stadt und sein Plan ging von der mittelalterlichen maltesischen Architektur, die unregelmäßige verwinkelte Straßen und Gassen ausstellte.
Every year , the designer takes his guests into a surreal world . ||| Jedes Jahr nimmt der Designer seine Gäste in eine surreale Welt mit.
As the lead designer in the firm Bebb and Gould , with his partner , Charles H. Bebb , Gould was responsible for many notable Pacific Northwest buildings , such as the original Seattle Art Museum and for the campus plan of the University of Washington . ||| Als Lead Designer in der Firma Bebb und Gould, mit seinem Partner, Charles H. Bebb, Gould war verantwortlich für viele bemerkenswerte Pacific Northwest Gebäude, wie das ursprüngliche Seattle Art Museum und für den Campus-Plan der University of Washington.
Fashion designer Paul Poiret played himself . ||| Modedesigner Paul Poiret hat sich selbst gespielt.
In this session , the designer Charles - Nicolas Cochin was also admitted for his design of that print . ||| In dieser Session wurde auch der Designer Charles - Nicolas Cochin für sein Design dieses Drucks zugelassen.
In 2010 , the designer presented his forth collection , " Slave " , as a part of Fashion East Menswear Installation . ||| Im Jahr 2010 präsentierte der Designer seine vierte Kollektion, "Slave ", als Teil von Fashion East Menswear Installation.
Michael McDonald ( born c. 1963 ) is an American costume designer who was nominated for both a Tony Award and a Drama Desk Award in 2009 for his work on the Broadway revival of the musical " Hair " . ||| Michael McDonald (geb. 1963) ist ein US-amerikanischer Kostümdesigner, der 2009 für seine Arbeit an der Broadway-Wiederbelebung des Musicals "Haar" für einen Tony Award und einen Drama Desk Award nominiert wurde.
The designer of the game , Kevin Wilson , claims that he can win equally well no matter which team he is playing . ||| Der Designer des Spiels, Kevin Wilson, behauptet, dass er genauso gut gewinnen kann, egal welches Team er spielt.
The head designer discussed his casting : " It seemed like a great idea to me , as casting through Instagram seemed cool , current and strong . ||| Der Chefdesigner diskutierte seine Casting: "Es schien wie eine tolle Idee für mich, als Casting durch Instagram schien cool, Strom und stark.
The fashion designer Alexander McQueen committed suicide by hanging himself at his flat in 7 Green Street in 2010 . ||| Der Modedesigner Alexander McQueen beging Selbstmord, indem er sich 2010 in seiner Wohnung in der 7 Green Street erhängte.
Fez " designer and Polytron founder Phil Fish gained celebrity status for his outspoken public persona and his prominence in the 2012 documentary " " , which detailed " Fez " final stages of development and Polytron 's related legal issues . ||| Fez "Designer und Polytron-Gründer Phil Fish erlangte Berühmtheit Status für seine ausgesprochene öffentliche Person und seine Prominenz in der 2012 Dokumentation " ", die detaillierte " Fez " final stages of development und Polytron's verwandten rechtlichen Fragen.
Production designer Simon Bowles won an award from the British Film Designers Guild on 27 January 2013 for his production design on this film . ||| Der Produktionsdesigner Simon Bowles wurde am 27. Januar 2013 von der British Film Designers Guild für sein Produktionsdesign für diesen Film ausgezeichnet.
The designer , Draper Kauffman , had been trying to develop a `` global strategy game '' for many years when he received a copy of Illuminati . ||| Der Designer, Draper Kauffman, hatte seit vielen Jahren versucht, ein `` globales Strategiespiel '' zu entwickeln, als er eine Kopie von Illuminaten erhielt.
Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannaras Mutter ist Schmuckdesignerin und ihr Vater ist Anwalt.
Tsukiko Sagi , a shy character designer who created the immensely popular pink dog Maromi , finds herself under pressure to repeat her success . ||| Tsukiko Sagi, ein schüchterner Charakterdesigner, der den ungeheuer beliebten rosa Hund Maromi geschaffen hat, steht unter Druck, ihren Erfolg zu wiederholen.
Costume designer Julie Weiss was also nominated for her work , but lost out to James Acheson of " Restoration " . ||| Kostümdesignerin Julie Weiss wurde auch für ihre Arbeit nominiert, verlor aber an James Acheson von "Restaurierung".
This event cemented the growing partnership with Stella Jean , as the designer is expanding her work to more countries where the Initiative works : ||| Diese Veranstaltung zementierte die wachsende Partnerschaft mit Stella Jean, wie die Designerin ihre Arbeit in mehr Länder, in denen die Initiative arbeitet erweitert :
The designer opened her first retail location in 1992 at 113 Greene Street in New York City 's Soho District . ||| Die Designerin eröffnete 1992 ihren ersten Einzelhandelsstandort in der 113 Greene Street im New York City Soho District.
The designer of Dior Fine Jewelry Victoire de Castellane launched her own watch named " Le D de Dior " ( French : " The D of Dior " ) . ||| Der Designer von Dior Fine Jewelry Victoire de Castellane startete ihre eigene Uhr mit dem Namen "Le D de Dior " ( Französisch : " The D of Dior " ).
Today she is looking to sell off its Donna Karan business , less than a year after the fashion designer stepped down from her namesake brand . ||| Heute ist sie auf der Suche, aus seinem Donna Karan Geschäft zu verkaufen, weniger als ein Jahr, nachdem die Modedesignerin trat von ihrer Namensvettermarke.
Paris was the final destination during the winter show season and British designer Vivienne Westwood made her the lead model in her show . ||| Paris war das Endziel während der Winterschausaison und die britische Designerin Vivienne Westwood machte sie zum Leitmodell ihrer Show.
was a British costume designer , who was nominated for Academy Awards for her designs on " Agatha " ( 1979 ) and " Reds " ( 1981 ) . ||| war eine britische Kostümdesignerin, die für ihre Entwürfe " Agatha " ( 1979) und " Reds " ( 1981 ) für Academy Awards nominiert wurde.
From that time the designer choosed her very individual way supperted by strong partners such as The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020 . ||| Von da an wählte die Designerin ihren ganz individuellen Weg, der von starken Partnern wie The Space Cinema in Piazza Duomo e la Rinascente Milano im Februar 2020 gegessen wurde.
Designer Patricia Zipprodt was nominated for a Tony Award and Drama Desk Award for her costume designs on the “ Alice in Wonderland ” revival . ||| Designerin Patricia Zipprodt wurde für ihre Kostümdesigns auf der "Alice in Wonderland" für einen Tony Award und einen Drama Desk Award nominiert.
The designer also created a line of home accessories called Swell , based on a book series she co - wrote with friend Ilene Rosenzweig , which made its debut at Target in 2003 . ||| Der Designer erstellte auch eine Reihe von Heimaccessoires namens Swell, basierend auf einer Buchserie sie co - schrieb mit Freundin Ilene Rosenzweig, die ihr Debüt bei Target im Jahr 2003.
Her father , Raymond W. Lewis , Jr. , was an aerospace designer and her mother , Dorothy Borwick Lewis McIntyre a recreation director . ||| Ihr Vater, Raymond W. Lewis, Jr., war eine Luft-und Raumfahrt-Designer und ihre Mutter, Dorothy Borwick Lewis McIntyre ein Erholungsdirektor.
Superstitious , she also insisted on dressing room 55 because that was her lucky number and required that Hubert de Givenchy , her long - time designer , be given a credit in the film for her perfume . ||| Abergläubisch, sie bestand auch auf Umkleideraum 55, weil das ihre Glückszahl war und verlangte, dass Hubert de Givenchy, ihr langjähriger Designer, im Film für ihr Parfüm einen Kredit erhalten würde.
A self - taught clothing designer , Immonen opened her first design boutique in Helsinki during World War II in 1942 which grew into a success despite the shortages of the ensuing years . ||| Ein selbst unterrichteter Bekleidungsdesigner, Immonen eröffnete ihre erste Design-Boutique in Helsinki während des Zweiten Weltkriegs 1942, die zu einem Erfolg trotz der Knappheit der folgenden Jahre wuchs.
Her mother is a graphic designer and her father , who died when Carré was a teenager , was a designer and forensic animator . ||| Ihre Mutter ist eine Grafikdesignerin und ihr Vater, der starb, als Carré ein Teenager war, war Designerin und forensische Animatorin.
French designer and art collector Hubert de Givenchy worked with Lane on her first major coverage of European art and the art market . ||| Der französische Designer und Kunstsammler Hubert de Givenchy arbeitete mit Lane an ihrer ersten großen Berichterstattung über europäische Kunst und den Kunstmarkt.
A Jewish interior designer living in New York City , she lives with her gay best friend , Will Truman ( played by Eric McCormack ) , for a majority of the series . ||| Eine jüdische Innenarchitektin lebt in New York City, sie lebt mit ihrem schwulen besten Freund, Will Truman (gespielt von Eric McCormack), für eine Mehrheit der Serie.
The fashion designer Izawa had made the long journey down with her own handmade wedding dress with the intention of fulfill the couple 's plans of marriage . ||| Die Modedesignerin Izawa hatte die lange Reise mit ihrem eigenen handgefertigten Hochzeitskleid mit der Absicht, die Pläne des Paares der Ehe erfüllen gemacht.
Her mother , Patricia MacTaggart , is a London - based interior designer and her father , Xavier Botana , is an Argentinian artist who lives in Buenos Aires . ||| Ihre Mutter, Patricia MacTaggart, ist eine Londoner Innenarchitektin und ihr Vater, Xavier Botana, ist eine argentinische Künstlerin, die in Buenos Aires lebt.
The designer identified Sévérine through her sexuality , and wanted to showcase the character as " sexy and exceptional and dark " by having her appear as naked as possible . ||| Die Designerin identifizierte Sévérine durch ihre Sexualität und wollte den Charakter als " sexy und außergewöhnlich und dunkel" darstellen, indem sie so nackt wie möglich erscheinen ließ.
In 1926 , in her first year as a student at the famous Bauhaus design school in Dessau , Germany , the textile designer Margaretha Reichardt undertook a preliminary course run by Josef Albers and László Moholy - Nagy . ||| 1926, in ihrem ersten Jahr als Studentin an der berühmten Bauhaus-Designschule in Dessau, unternahm die Textildesignerin Margaretha Reichardt einen Vorkurs von Josef Albers und László Moholy - Nagy.
Her mother is a fashion designer and her father works in the construction industry . ||| Ihre Mutter ist Modedesignerin und ihr Vater arbeitet in der Bauindustrie.
Costume designer Antonella Cannarozzi was nominated for an Academy Award for Best Costume Design for her work in the film , but the award went to Colleen Atwood for " Alice in Wonderland " . ||| Kostümdesignerin Antonella Cannarozzi wurde für ihre Arbeit im Film für einen Academy Award für bestes Kostümdesign nominiert, aber der Preis ging an Colleen Atwood für " Alice im Wunderland".
Dorothy Wright Liebes ( 14 October 1897 – 20 September 1972 ) was an American textile designer and weaver renowned for her innovative , custom - designed modern fabrics for architects and interior designers . ||| Dorothy Wright Liebes ( 14. Oktober 1897 – 20. September 1972 ) war eine amerikanische Textildesignerin und Weberin, die für ihre innovativen, maßgeschneiderten modernen Stoffe für Architekten und Innenarchitekten bekannt ist.
A Hearst writer ghost wrote the newspaper page after 1918 , but the designer herself penned the " Good Housekeeping " and " Harper 's Bazaar " features throughout their duration , although the responsibility of producing a regular piece proved difficult , and she missed several deadlines . ||| Ein Hearst Schriftsteller Geist schrieb die Zeitungsseite nach 1918, aber die Designer selbst schrieb die " gute Haushaltsführung " und " Harper's Bazaar " Features während ihrer gesamten Dauer, obwohl die Verantwortung für die Herstellung eines regelmäßigen Stück erwies sich als schwierig, und sie verpasste mehrere Fristen.
Her mother was an interior designer and her father a " pied noir " and a real estate agent . ||| Ihre Mutter war Innenarchitektin und ihr Vater ein "Pied Noir" und ein Immobilienmakler.
The designer first gained international recognition in 2000 with her collection „ Déclaration d’amour à l’Allemagne “ . ||| Die Designerin erlangte erstmals im Jahr 2000 internationale Anerkennung mit ihrer Kollektion „ Déclaration d".
The designer also draws on her studies of Bohemianism , Dark Romanticism , and love for the literature , art and music of the Decadent movement . ||| Die Designerin stützt sich auch auf ihre Studien über Böhmertum, Dunkle Romantik und Liebe zur Literatur, Kunst und Musik der Decadent-Bewegung.
AG Hair was founded in 1989 by Lotte Davis , a South African - born graphic designer and her husband John Davis , a hairdresser from Liverpool , in their North Vancouver basement . ||| AG Hair wurde 1989 von Lotte Davis, einer südafrikanischen Grafikdesignerin, und ihrem Mann John Davis, einem Friseur aus Liverpool, in ihrem North Vancouver Keller gegründet.
Everything is produced in Moscow under the strict control of the designer herself . ||| Alles wird in Moskau unter der strengen Kontrolle der Designer selbst produziert.
Fashion designer Valentino once commented on her physical resemblance to Marlene Dietrich . ||| Modedesigner Valentino kommentierte einmal ihre körperliche Ähnlichkeit mit Marlene Dietrich.
Kanai was born in 1978 to parents with artistic backgrounds , her father being a graphic designer and her mother working for the Japanese fashion designer Issey Miyake . ||| Kanai wurde 1978 für Eltern mit künstlerischem Hintergrund geboren, ihr Vater war Grafiker und ihre Mutter arbeitete für die japanische Modedesignerin Issey Miyake.
No director , choreographer , set designer or costume designer was hired like back in her days as career performer . ||| Kein Regisseur, Choreograf, Bühnenbildner oder Kostümdesigner wurde wie in ihren Tagen als Karrierekünstler eingestellt.
In 1993 , a Beverly Hills graphic designer who said she had an on-and-off relationship with Sharkey from 1985 to 1991 announced that she was suing Sharkey ' s estate . ||| 1993, eine Beverly Hills Grafikdesignerin, die sagte, sie hatte eine on-and-off-Beziehung mit Sharkey von 1985 bis 1991 angekündigt, dass sie verklagt Sharkey's Nachlass.
Designer Nicole Miller used Lynn 's " The Last High ( Y - Tron Remix ) " for her Spring 2013 campaign . ||| Designer Nicole Miller hat Lynns "The Last High ( Y - Tron Remix )" für ihre Kampagne im Frühjahr 2013 verwendet.
Costume designer Daphne Dare used artistic license with her costumes in the serial , since male Aztecs usually only wore brief loincloths and cloaks , while women were often topless . ||| Kostümdesigner Daphne Dare benutzte mit ihren Kostümen in der Serie eine künstlerische Lizenz, da männliche Azteken meist nur kurze Lendentücher und Mäntel trugen, während Frauen oft oben ohne waren.
Her mother , Tessa , an interior designer spent time with her children playing tennis during their childhood . ||| Ihre Mutter, Tessa, eine Innenarchitektin verbrachte Zeit mit ihren Kindern Tennis spielen in ihrer Kindheit.
Her maternal grandmother was a talented designer herself , and she displayed talent as a young girl in drawing and making clothes for her dolls . ||| Ihre Großmutter mütterlicherseits war selbst eine talentierte Designerin, und sie zeigte Talent als junges Mädchen in der Zeichnung und Herstellung von Kleidung für ihre Puppen.
Anne Fogarty ( February 2 , 1919 – January 15 , 1980 ) was an American fashion designer , active 1940–80 , who was noted for her understated , ladylike designs that were accessible to American women on a limited income . ||| Anne Fogarty (2. Februar 1919 – 15. Januar 1980) war eine amerikanische Modedesignerin, aktiv 1940–80, die für ihre unterbesetzten, ladylike Designs bekannt war, die amerikanischen Frauen mit einem begrenzten Einkommen zugänglich waren.
The designer praised her look and strong photographs , but criticized her runway walk as well as her lack of eye contact . ||| Die Designerin lobte ihr Aussehen und starke Fotos, kritisierte aber ihren Laufsteg sowie ihren Mangel an Augenkontakt.
Her designer was John Henslow , and she was identical with his contemporaneous except that " Echo " was a ship - sloop and " Busy " was a brig - sloop . ||| Ihr Designer war John Henslow, und sie war identisch mit seiner gleichzeitigen, außer dass " Echo " war ein Schiff - Sloop und " beschäftigt " war eine Brig - Sloop.
Urai has also worked as a freelance graphic designer and video game journalist and through her work with Microsoft she has been sponsored by the company , wearing an Xbox 360 logo on her gear . ||| Urai hat auch als freiberufliche Grafikdesignerin und Videospieljournalistin gearbeitet und durch ihre Arbeit mit Microsoft wurde sie von der Firma gesponsert, trägt ein Xbox 360 Logo auf ihrer Ausrüstung.
In October 2014 , following the publication of the authorised biography Vivienne Westwood by the fashion designer and her co - author Ian Kelly , Gorman accused the authors and the publisher Picador of plagiarising substantial sections of material from his book " " . ||| Im Oktober 2014, nach der Veröffentlichung der autorisierten Biographie Vivienne Westwood durch die Modedesignerin und ihre Co-Autorin Ian Kelly, Gorman beschuldigt die Autoren und der Verlag Picador der plagiarising wesentlichen Teile des Materials aus seinem Buch ".
Judianna Makovsky ( born August 24 , 1967 ) is an American costume designer , who is perhaps best known for her work on the films " Harry Potter and the Philosopher 's Stone " ( 2001 ) , " Seabiscuit " ( 2003 ) and " The Hunger Games " ( 2012 ) , as well as various films within the Marvel Cinematic Universe . ||| Judianna Makovsky ( geboren am 24. August 1967 ) ist eine amerikanische Kostümdesignerin, die vielleicht am besten für ihre Arbeit an den Filmen " Harry Potter und der Philosoph's Stone " ( 2001 ), " Seabiscuit " ( 2003 ) und " Die Hungerspiele " ( 2012 ), sowie verschiedene Filme im Marvel Cinematic Universe.
One of the former residents of Satoya , however , turns out to be a famous designer who owns a run-down villa on Miyakojima that she offers to let Jun turn into a inn . ||| Einer der ehemaligen Bewohner von Satoya, jedoch, stellt sich als ein berühmter Designer, der eine heruntergekommene Villa auf Miyakojima besitzt, die sie anbietet, Jun in ein Gasthaus verwandeln zu lassen.
She became a designer herself at the company during the early 1930s and created a number of patterns on bone china and Queen ’s ware for Wedgwood . ||| Sie wurde selbst Designerin in der Firma in den frühen 1930er Jahren und schuf eine Reihe von Mustern auf Knochenchina und Queens Ware für Wedgwood.
The designer also said she had to make some adaptations to a suit worn by Ormond , as she is a completely different body shape to her character , Vivien Leigh . ||| Die Designerin sagte auch, dass sie einige Anpassungen an einen Anzug von Ormond getragen machen musste, da sie eine völlig andere Körperform zu ihrem Charakter, Vivien Leigh ist.
The American designer Anne Fogarty was particularly noted for her full - skirted designs worn over crinoline petticoats , which were always separate garments from the dress to enable ease of movement and travelling . ||| Die amerikanische Designerin Anne Fogarty wurde besonders für ihre voll geschliffenen Designs über Crinoline Petticoats getragen, die immer getrennt Kleidungsstücke vom Kleid waren, um Bewegungsfreiheit und Reisen zu ermöglichen.
American urban landscape designer Renée Gunter uses this plant in her South Los Angeles lawn as a drought - resistant alternative to thirstier plants . ||| Die amerikanische Stadtlandschaftsdesignerin Renée Gunter nutzt diese Pflanze in ihrem Süd-Los Angeles-Rasen als Dürre-resistente Alternative zu durstigeren Pflanzen.
When she returned to Alabama she hired a designer for a hand-operated device to keep a windshield clear and had a local company produce a working model . ||| Als sie nach Alabama zurückkehrte, heuerte sie einen Designer für ein handbetriebenes Gerät an, um eine Windschutzscheibe klar zu halten und ein lokales Unternehmen ein funktionierendes Modell produzieren zu lassen.
Shoulder pads originally became popular for women in the 1930s when fashion designer Elsa Schiaparelli included them in her designs of 1931 . ||| Schulterpolster wurden ursprünglich für Frauen in den 1930er Jahren populär, als Modedesignerin Elsa Schiaparelli sie in ihre Designs von 1931 einschloss.
Then the designer insists the home owner leave and do not return to their house in 2 days as the designer and her crew prepares to finish renovating their house with a budget under $ 5000 . ||| Dann besteht der Designer darauf, die Hausbesitzer verlassen und nicht zu ihrem Haus in 2 Tagen zurück, wie die Designer und ihre Crew bereitet sich auf die Renovierung ihres Hauses mit einem Budget unter $ 5000 fertig.
Rachel Hauck is a scenic designer based in New York City who is known for her work in Anaïs Mitchell 's musical " Hadestown " on and off - Broadway and in London , John Leguizamo 's " Latin History for Morons " on and off - Broadway , and her extensive off - Broadway work . ||| Rachel Hauck ist eine szenische Designerin mit Sitz in New York City, die für ihre Arbeit in Anaïs Mitchell's Musical " Hadestown " on and off - Broadway und in London bekannt ist, John Leguizamo's " Latin History for Morons " on and off - Broadway, und ihre umfangreiche off - Broadway Arbeit.
Costume designer Karyn Wagner spoke of her role within " The Possibilities " , more so her involvement in the van sequence with Cassidy , Fiore and DeBlanc , wherein Wagner stated , " For a stunt like this , you have to consider what you can get 8 to 12 of , because you nee multiple takes for principal actors . ||| Kostümdesigner Karyn Wagner sprach von ihrer Rolle in "Die Möglichkeiten ", mehr so ihre Beteiligung in der Van-Sequenz mit Cassidy, Fiore und DeBlanc, wobei Wagner sagte, " Für einen Stunt wie dieser, müssen Sie überlegen, was Sie 8 bis 12 von bekommen, weil Sie brauchen mehrere nimmt für Hauptdarsteller.
In her collection " Ariege " , fashion designer Marcela Calvet named one of her most sought - after handbags " Corinne " , in her honor . ||| In ihrer Sammlung " Ariege ", Modedesignerin Marcela Calvet benannte eine ihrer begehrtesten - nach Handtaschen " Corinne ", zu ihrer Ehre.
In 2003 , the designer launched her Dolly Girl fragrance together with several limited edition sets in the Dolly Girl series . ||| 2003 startete die Designerin ihren Dolly Girl Duft zusammen mit mehreren limitierten Editionen der Dolly Girl Serie.
British designer Gina Franklyn sold British fashions out of her shop 99 , located at 99 MacDougal Street in New York 's Greenwich Village . ||| Die britische Designerin Gina Franklyn verkaufte britische Moden aus ihrem Laden 99, in der 99 MacDougal Street in New Yorks Greenwich Village.
She was the eldest daughter of the merchant Herman Kohany ( 1882–1942 ) who perished in the Holocaust under unknown circumstances , and Paulina Kohany , née Raaber ( 1882–1942 ) , a porcelain designer in her youth , who was killed along with her younger daughter Hilde Kohany ( 1920–1942 ) in Treblinka . ||| Sie war die älteste Tochter des Kaufmanns Herman Kohany ( 1882–1942), der unter unbekannten Umständen im Holocaust umgekommen ist, und Paulina Kohany, geb.Raaber ( 1882–1942), eine Porzellandesignerin in ihrer Jugend, die zusammen mit ihrer jüngeren Tochter Hilde Kohany ( 1920–1942) in Treblinka getötet wurde.
Bobbie 's father was theologian Morris S. Seale , her sister was Thea Porter the fashion designer and her brother was writer and journalist Patrick Seale . ||| Bobbie's Vater war Theologe Morris S. Seale, ihre Schwester war Thea Porter die Modedesignerin und ihr Bruder war Schriftsteller und Journalist Patrick Seale.
The biological mother of Mia who was often portrayed as faceless character who lived in New York as fashion designer having her face always covered by a sculpture , in the 1st half of the show . ||| Die biologische Mutter von Mia, die oft als gesichtsloser Charakter dargestellt wurde, der in New York als Modedesignerin lebte, wobei ihr Gesicht immer von einer Skulptur bedeckt war, in der 1. Hälfte der Show.
Two days later the project was revealed to be a hoax perpetrated by Funny Or Die , after the video 's costume designer posted the experience on her online resume . ||| Zwei Tage später wurde das Projekt enthüllt, um ein Schwindel von Funny Or Die begangen werden, nachdem das Video's Kostüm-Designer postete die Erfahrung auf ihrem Online-Fortsetzung.
designer Dhafali Devi won the award for her rug under the Discipline category . ||| Designer Dhafali Devi gewann den Preis für ihren Teppich unter der Kategorie Disziplin.
The Sui by Anna Sui line and her jeans line continued under operation after the designer left her designer job at Gilmar 's Cento X Cento . ||| Die Sui von Anna Sui Linie und ihre Jeanslinie wurden weitergeführt, nachdem die Designerin ihren Designerjob bei Gilmar's Cento X Cento verlassen hatte.
As costume designer Rita Riggs described in her 2001 Archive of American Television interview , Lear 's idea was to create the feeling of sepia tones , in an attempt to make viewers feel as if they were looking at an old family album . ||| Als Kostümdesignerin Rita Riggs in ihrem 2001 Archive of American Television Interview beschrieben, Lear's Idee war, das Gefühl der Sepia Töne zu schaffen, in einem Versuch, die Zuschauer fühlen, als ob sie auf ein altes Familienalbum schauen.
After her mother 's death , New York City fashion designer Lisa Rayborn ( Natasha Henstridge ) returns to her hometown and family farm . ||| Nach dem Tod ihrer Mutter kehrt die New Yorker Modedesignerin Lisa Rayborn ( Natasha Henstridge) in ihre Heimatstadt und ihre Familienfarm zurück.
Rita Ryack is a costume designer who was nominated for an Academy Award for Best Costume Design at the 73rd Academy Awards for her work in " How the Grinch Stole Christmas " . ||| Rita Ryack ist eine Kostümdesignerin, die bei den 73. Academy Awards für ihre Arbeit in "How the Grinch Stole Christmas" für einen Academy Award für das beste Kostümdesign nominiert wurde.
It is important that in order to be an industrial design the product has to be produced in an industrial way , for example an artisan ca not be considered an industrial designer although she may challenge the same aspects of a product . ||| Es ist wichtig, dass, um ein industrielles Design zu sein, das Produkt in einer industriellen Art und Weise produziert werden muss, zum Beispiel ein Handwerker ca nicht als Industriedesigner angesehen werden, obwohl sie die gleichen Aspekte eines Produkts herausfordern kann.
Elizabeth Florence Emanuel ( née Weiner , born 5 July 1953 ) is a British fashion designer who is best known for designing , with her former husband David Emanuel , the wedding dress worn by Diana , Princess of Wales , in 1981 . ||| Elizabeth Florence Emanuel (geborene Weiner, geboren 5. Juli 1953) ist eine britische Modedesignerin, die am besten für die Gestaltung bekannt ist, mit ihrem ehemaligen Ehemann David Emanuel, das Hochzeitskleid getragen von Diana, Prinzessin von Wales, in 1981.
designer Dhafali Devi won the award for her rug . ||| Designer Dhafali Devi gewann den Preis für ihren Teppich.
The designer Jill Richards , herself a Hollywood actress of around the same era , favoured it in her collections of the 1970s , attracting a clientele of names such as Nancy Reagan . ||| Die Designerin Jill Richards, selbst eine Hollywood-Schauspielerin rund um die gleiche Zeit, favorisierte es in ihren Sammlungen der 1970er Jahre, zieht eine Klientel von Namen wie Nancy Reagan.
